level,type,prompt,answer,source,license
A2,gapfill,"In 1978 _____ parts came together, making the autonomous communities.",these,simplewiki,CC BY-SA
A2,gapfill,"_____ are called ""autonomous cities"" and have simultaneously the majority of the power of an autonomous community and also power of provinces and power of municipalities.",they,simplewiki,CC BY-SA
A2,gapfill,"Later, _____ studied at Cambridge University and Princeton University.",he,simplewiki,CC BY-SA
A2,gapfill,_____ was convicted and had to choose between prison or taking hormones to reduce his sex drive.,he,simplewiki,CC BY-SA
A2,gapfill,"Some say _____ ate a poisoned apple, but the apple was never tested.",he,simplewiki,CC BY-SA
A2,gapfill,"In 2013, Queen Elizabeth _____ gave him a royal pardon.",ii,simplewiki,CC BY-SA
A2,gapfill,"_____ was born in Ottawa, Canada.",she,simplewiki,CC BY-SA
A2,gapfill,"_____ has an older brother, Chad, and a twin brother, Wade, who is 12 minutes younger than she is.",she,simplewiki,CC BY-SA
A2,gapfill,_____ works well with the rest of the products with the Adobe name.,it,simplewiki,CC BY-SA
A2,gapfill,"You _____ help Wikipedia by [ adding to it]"".",can,simplewiki,CC BY-SA
A2,gapfill,_____ is spicy (hot in taste) and smoked.,it,simplewiki,CC BY-SA
A2,gapfill,"The _____ called Fertile Crescent is now in the countries of Iraq, Syria, Turkey, Jordan, Lebanon, Israel, and Egypt.",area,simplewiki,CC BY-SA
A2,gapfill,"Livestock including horses, cattle, sheep, and goats were taken to the Americas, from the _____ World.",old,simplewiki,CC BY-SA
A2,gapfill,"_____ probably started agriculture by planting a few crops, but still gathered many foods from the wild.",people,simplewiki,CC BY-SA
A2,gapfill,"Farmers _____ plants with better yield, taste, and nutritional value.",select,simplewiki,CC BY-SA
A2,gapfill,"They also choose plants that _____ survive plant disease and drought, and are easier to harvest.",can,simplewiki,CC BY-SA
A2,gapfill,"If they are used to _____ meat for people to eat, that is livestock production.",make,simplewiki,CC BY-SA
A2,gapfill,"Non-meat animals, such as milk cows and egg-producing chickens, are kept for _____ produce.",their,simplewiki,CC BY-SA
A2,gapfill,Goats eat a much wider range of plants _____ cows.,than,simplewiki,CC BY-SA
A2,gapfill,"In some parts of the world, _____ makes goats a more sensible choice for a farmer than cows.",that,simplewiki,CC BY-SA
A2,gapfill,Other _____ say intensive agriculture is damaging the environment.,people,simplewiki,CC BY-SA
A2,gapfill,"Computers can do _____ more quickly, which is one reason Global Positioning System receivers have a small computer inside.",it,simplewiki,CC BY-SA
A2,gapfill,"The objects are various shapes, where one group has 3 of them while the _____ has 2.",other,simplewiki,CC BY-SA
A2,gapfill,"When the two groups combine into one, the overall amount (sum) of the shapes _____ 5.",become,simplewiki,CC BY-SA
A2,gapfill,The animation above demonstrates the addition of seven hundred eighty six and _____ hundred sixty seven.,four,simplewiki,CC BY-SA
A2,gapfill,"The problem's digits have been separated _____ units, tens and hundreds (see Place value).",into,simplewiki,CC BY-SA
A2,gapfill,"Next, in the tens column, the 1, 8, and 6 are added together to _____ 15 tens, so 1 hundred and 5 tens, with the 5 written below and the 1 hundred carried to the hundreds column.",make,simplewiki,CC BY-SA
A2,gapfill,Tom wants to know the distance between _____ house and Sally's house.,his,simplewiki,CC BY-SA
A2,gapfill,"The distance from Tom's house to Bob's house, added to the distance from Bob's house to Sally's house, is the _____ as the distance from Tom's house to Sally's house.",same,simplewiki,CC BY-SA
A2,gapfill,formula_6 Hence Sally's _____ is 420 m to the east of Tom's house.,house,simplewiki,CC BY-SA
A2,gapfill,"Australia, officially the Commonwealth of Australia, is an island country and sovereign _____ located in the southern hemisphere, in Oceania.",state,simplewiki,CC BY-SA
A2,gapfill,"Its capital _____ is Canberra, and its largest city is Sydney.",city,simplewiki,CC BY-SA
A2,gapfill,"The country is divided up into six _____ and two territories, and more than half of Australia's population lives in and around the cities of Sydney, Melbourne, Brisbane, Perth and Adelaide.",states,simplewiki,CC BY-SA
A2,gapfill,"Australia is known for _____ mining (coal, iron, gold, diamonds and crystals).",its,simplewiki,CC BY-SA
A2,gapfill,"The continent of Australia, including the island of Tasmania, was separated from the _____ continents of the world many millions of years ago.",other,simplewiki,CC BY-SA
A2,gapfill,The _____ Prime Minister of Australia was Edmund Barton in 1901.,first,simplewiki,CC BY-SA
A2,gapfill,"Australia has six states, two major mainland territories, and _____ minor territories.",other,simplewiki,CC BY-SA
A2,gapfill,"The _____ are New South Wales, Queensland, South Australia, Victoria, Western Australia and Tasmania (which is a large island).",states,simplewiki,CC BY-SA
A2,gapfill,"Most Australians _____ in cities along the coast, such as Sydney, Melbourne, Brisbane, Perth, Adelaide, Newcastle and the Gold Coast.",live,simplewiki,CC BY-SA
A2,gapfill,"The largest inland city is Canberra, which is _____ the nation's capital.",also,simplewiki,CC BY-SA
A2,gapfill,The island state of Tasmania has a _____ balanced climate than much of the mainland.,more,simplewiki,CC BY-SA
A2,gapfill,_____ the capital cities except Perth and Darwin are in the south-east of the country.,all,simplewiki,CC BY-SA
A2,gapfill,"The BBC report comments: ""In the past three years, record-breaking bushfire and flood events have killed more than 500 _____ and billions of animals.",people,simplewiki,CC BY-SA
A2,gapfill,"Until the arrival of British settlers in 1788, the Aboriginal _____ lived by hunting and gathering food from the land.",people,simplewiki,CC BY-SA
A2,gapfill,Every few years the Aboriginal _____ would burn the grass and small trees.,people,simplewiki,CC BY-SA
A2,gapfill,"They did not usually build walls or fences, and there were no horses, cows or sheep in Australia _____ needed to be kept in pens.",that,simplewiki,CC BY-SA
A2,gapfill,The Aboriginal people did not use metal or _____ pottery or use bows and arrows or weave cloth.,make,simplewiki,CC BY-SA
A2,gapfill,Australia has a lot of trees _____ have very hard wood that was good for spear making.,that,simplewiki,CC BY-SA
A2,gapfill,The Aboriginal people did not think _____ the land belonged to them.,that,simplewiki,CC BY-SA
A2,gapfill,"In the 1600s, Dutch merchants traded with the islands of Batavia (now Indonesia), to the _____ of Australia and several different Dutch ships touched on the coast of Australia.",north,simplewiki,CC BY-SA
A2,gapfill,"The voyage of discovery was very successful, because _____ found New Zealand and sailed right around it.",they,simplewiki,CC BY-SA
A2,gapfill,"At last, a boy, William Hicks, _____ was up the mast spotted land on the horizon.",who,simplewiki,CC BY-SA
A2,gapfill,Captain Cook named _____ bit of land Point Hicks.,that,simplewiki,CC BY-SA
A2,gapfill,"They sailed up the coast and Captain Cook named the land that _____ saw ""New South Wales"".",he,simplewiki,CC BY-SA
A2,gapfill,Captain Cook saw the Aboriginal _____ with their simple way of life.,people,simplewiki,CC BY-SA
A2,gapfill,But _____ were no houses and no fences.,there,simplewiki,CC BY-SA
A2,gapfill,But the Aboriginal people did not own the land in _____ way.,that,simplewiki,CC BY-SA
A2,gapfill,_____ would later cause a terrible problem for the Aboriginal people.,this,simplewiki,CC BY-SA
A2,gapfill,Many _____ were hanged for small crimes.,people,simplewiki,CC BY-SA
A2,gapfill,Often _____ were sent away to the British colonies in America.,they,simplewiki,CC BY-SA
A2,gapfill,"But by the 1770s, the colonies in America became the _____ States.",united,simplewiki,CC BY-SA
A2,gapfill,"_____ were free from British rule and would not take England's convicts any more, so England needed to find a new and less populated place.",they,simplewiki,CC BY-SA
A2,gapfill,"In 1788 the _____ Fleet of eleven ships set sail from Portsmouth carrying convicts, sailors, marines, a few free settlers and enough food to last for two years.",first,simplewiki,CC BY-SA
A2,gapfill,_____ leader was Captain Arthur Phillip.,their,simplewiki,CC BY-SA
A2,gapfill,"_____ went with two ships up the coast and sailed into a great harbour called Port Jackson, which he said was ""the finest harbour in the world"".",he,simplewiki,CC BY-SA
A2,gapfill,There were many small bays on the harbour so _____ decided on one which had a good stream of fresh water and some flat shore to land on.,he,simplewiki,CC BY-SA
A2,gapfill,_____ was probable that everyone in the new colony would die of starvation.,it,simplewiki,CC BY-SA
A2,gapfill,"The little _____ of tents had a hut for the Governor, Arthur Phillip, and another hut for the supply of food.",group,simplewiki,CC BY-SA
A2,gapfill,There was _____ a hospital and a convict barracks and a beautiful church which are still standing today.,also,simplewiki,CC BY-SA
A2,gapfill,"While the settlement was growing in New South Wales, _____ was also growing in Tasmania.",it,simplewiki,CC BY-SA
A2,gapfill,"The climate in Tasmania was more like that in England, and farmers found _____ easy to grow crops there.",it,simplewiki,CC BY-SA
A2,gapfill,"When the settlers looked west from Sydney, _____ saw a range of mountains which they called the Blue Mountains.",they,simplewiki,CC BY-SA
A2,gapfill,"Many of the explorers did not prepare very well, or else _____ went out to explore at the hottest time of year.",they,simplewiki,CC BY-SA
A2,gapfill,_____ died like Burke and Wills.,some,simplewiki,CC BY-SA
A2,gapfill,"_____ mapped the country as he went, and his maps remained in use for more than 100 years.",he,simplewiki,CC BY-SA
A2,gapfill,"_____ travelled all the way to what is now western Victoria, and to his surprise and annoyance found that he was not the first white person there.",he,simplewiki,CC BY-SA
A2,gapfill,"The Henty brothers had come from Tasmania, had built themselves a house, had a successful farm and fed the Major and _____ men on roast lamb and wine.",his,simplewiki,CC BY-SA
A2,gapfill,The _____ governments in the colonies were run by governors chosen by London.,first,simplewiki,CC BY-SA
A2,gapfill,Soon the settlers wanted local government and _____ democracy.,more,simplewiki,CC BY-SA
A2,gapfill,"In 1840, the city councils started and some _____ could vote.",people,simplewiki,CC BY-SA
A2,gapfill,"In 1855, limited self-government was given by London to _____ South Wales, Victoria, South Australia and Tasmania.",new,simplewiki,CC BY-SA
A2,gapfill,The _____ colonies soon followed.,other,simplewiki,CC BY-SA
A2,gapfill,But voices were getting louder for all of them to come together as _____ country with a national parliament.,one,simplewiki,CC BY-SA
A2,gapfill,"Until 1901, Australia was not a nation, _____ was six separate colonies governed by Britain.",it,simplewiki,CC BY-SA
A2,gapfill,"Australia joined in on the side of Britain _____ Germany, Austria-Hungary and the Ottoman Empire.",against,simplewiki,CC BY-SA
A2,gapfill,"In 1932, the Sydney Harbour _____ was opened.",bridge,simplewiki,CC BY-SA
A2,gapfill,"Whitlam made changes, but _____ made the Senate unhappy and the Governor-General sacked him and forced an election in 1975.",he,simplewiki,CC BY-SA
A2,gapfill,_____ Malcolm Fraser won a few elections for the Liberal Party.,then,simplewiki,CC BY-SA
A2,gapfill,"In the 1950s and 1960s Australia became _____ of the richest countries in the world, helped by mining and wool.",one,simplewiki,CC BY-SA
A2,gapfill,"In the 1970s, 80s and 90s lots of Australian movies, actors and singers became famous _____ the world.",around,simplewiki,CC BY-SA
A2,gapfill,"Australia had a bad recession in 1991, but when _____ Western countries had trouble with their economies in 2008, Australia stayed strong.",other,simplewiki,CC BY-SA
A2,gapfill,Around 4-5% of Australians could _____ get a job in 2010.,not,simplewiki,CC BY-SA
A2,gapfill,"Australia is made up of six states, and _____ mainland territories.",two,simplewiki,CC BY-SA
A2,gapfill,Australia constitutionally is a Constitutional Monarchy meaning _____ the Monarch has little power and in Australia must be neutral in Australian politics Culture.,that,simplewiki,CC BY-SA
A2,gapfill,"Christianity is the main religion, though all religions are accepted and _____ everybody has a religion.",not,simplewiki,CC BY-SA
A2,gapfill,"Australia is multicultural: all its _____ are encouraged to keep their different languages, religions and ways of life, while also learning English and joining in with other Australians.",people,simplewiki,CC BY-SA
A2,gapfill,"In 1973, Patrick White won the Nobel Prize in Literature, the only Australian to have achieved this; _____ is seen as one of the great English-language writers of the twentieth century.",he,simplewiki,CC BY-SA
A2,gapfill,Flynn went on to a celebrated _____ in Hollywood.,career,simplewiki,CC BY-SA
A2,gapfill,23.5% Australians over the age of 15 regularly take _____ in organised sporting activities.,part,simplewiki,CC BY-SA
A2,gapfill,Corporate and government sponsorship of _____ sports and elite athletes is common in Australia.,many,simplewiki,CC BY-SA
A2,gapfill,Televised sport is popular; _____ of the highest-rated television programs include the Summer Olympic Games and the grand finals of local and international football competitions.,some,simplewiki,CC BY-SA
A2,gapfill,"Now Australia has hundreds of smaller community-based festivals, and national and regional festivals _____ focus on specific art forms.",that,simplewiki,CC BY-SA
A2,gapfill,Most of the marsupials in the world are found only on the continent or on the neighbouring island of _____ Guinea.,new,simplewiki,CC BY-SA
A2,gapfill,The gum trees are _____ as remarkable as the animals.,almost,simplewiki,CC BY-SA
A2,gapfill,"_____ had been separated from the Americas, Africa and much of Asia for millions of years.",they,simplewiki,CC BY-SA
A2,gapfill,"American English, or US English, is the dialect of English _____ is spoken in the United States.",that,simplewiki,CC BY-SA
A2,gapfill,"_____ the 18th and 19th centuries, pronunciation changed less in America than in England.",during,simplewiki,CC BY-SA
A2,gapfill,There are also some words in American English _____ are a bit different from British English.: Regional accents.,that,simplewiki,CC BY-SA
A2,gapfill,Here are some regional accents of _____ English: References.,american,simplewiki,CC BY-SA
A2,gapfill,"Fish farming has been practiced, in _____ parts of the world, for thousands of years.",some,simplewiki,CC BY-SA
A2,gapfill,"Today, _____ of the seafood eaten in the U.S.",half,simplewiki,CC BY-SA
A2,gapfill,"The environmental impact of fish farming varies widely, depending on the species being farmed, the methods used and _____ the farm is located.",where,simplewiki,CC BY-SA
A2,gapfill,"The _____ of the large computer company IBM comes from the words ""International Business Machines"".",name,simplewiki,CC BY-SA
A2,gapfill,"The name of the part of the United States government _____ sends rockets into outer space is NASA, from the words ""National Aeronautics and Space Administration"".",that,simplewiki,CC BY-SA
A2,gapfill,"_____ sometimes write ""ASAP"" for ""As Soon As Possible"".",people,simplewiki,CC BY-SA
A2,gapfill,Angels are powerful spirits _____ obey God's commands.,that,simplewiki,CC BY-SA
A2,gapfill,"God, in the Book of Genesis sends an Angel with a sword made _____ of fire to keep Adam and Eve from going back to the Garden of Eden.",out,simplewiki,CC BY-SA
A2,gapfill,"In the Book of Exodus, an Angel comes to a bush and makes a fire _____ the bush doesn't burn.",but,simplewiki,CC BY-SA
A2,gapfill,"When Moses sees this, _____ comes close to the Bush and he hears God speak to him.",he,simplewiki,CC BY-SA
A2,gapfill,"Isaiah said that when _____ heard the Angels sing he said ""I am doomed for I live among a people of unclean lips"" and that God got angry with him for saying that.",he,simplewiki,CC BY-SA
A2,gapfill,Zechariah sees an Angel defending the Priest from The Satan when The Satan says _____ the Priest did a bad thing.,that,simplewiki,CC BY-SA
A2,gapfill,"In the Book of Job, all the Angels meet with God and The Satan bets God that he _____ make Job curse God Daniel.",can,simplewiki,CC BY-SA
A2,gapfill,Daniel _____ mentions Angels being named Michael and Gabriel Chronicles.,also,simplewiki,CC BY-SA
A2,gapfill,"In the Books of Chronicles, The Satan gets King David to want to have _____ census.",his,simplewiki,CC BY-SA
A2,gapfill,"_____ is not here; he has risen, just as He said"".",he,simplewiki,CC BY-SA
A2,gapfill,In Judaism angels are created by _____ from fire.,god,simplewiki,CC BY-SA
A2,gapfill,"When the Bible speaks _____ the creation of humans in the plural, Judaism sometimes argues that God discussed his decision with the angels.",about,simplewiki,CC BY-SA
A2,gapfill,"Some angels deliver messages to humans and prophets, _____ famous among them is Gabriel.",most,simplewiki,CC BY-SA
A2,gapfill,"Some angels don't have a task on earth, _____ dwell in heaven, for example, to praise God.",but,simplewiki,CC BY-SA
A2,gapfill,"For example, God orders angels to punish _____ in hell, not demons.",people,simplewiki,CC BY-SA
A2,gapfill,_____ are often shown in art as having wings and a halo.,they,simplewiki,CC BY-SA
A2,gapfill,"Angels are generally held to be holy and virtuous, hence the term is used loosely to apply to anyone particularly _____ or kind, or having a good influence.",good,simplewiki,CC BY-SA
A2,gapfill,"In _____ novel ""Far From the Madding Crowd"", Thomas Hardy chooses the name of an angel, Gabriel, for his kind and helpful hero.",his,simplewiki,CC BY-SA
A2,gapfill,"From the era of the Romantics onwards, there has developed the widely held belief _____ everyone has an angel assigned to guard them.",that,simplewiki,CC BY-SA
A2,gapfill,_____ is believed that angels communicate with humans through repetitive appearances of numbers.,it,simplewiki,CC BY-SA
A2,gapfill,_____ is a word often used in rhetoric.,it,simplewiki,CC BY-SA
A2,gapfill,"Rhetoric is the science of speaking well, and convincing other _____ of your ideas.",people,simplewiki,CC BY-SA
A2,gapfill,"The term comes from the Latin word ""homo"", _____ means human.",which,simplewiki,CC BY-SA
A2,gapfill,"When a social network has already excluded or exiled one person, or applied a negative label to them, this _____ work more often.",can,simplewiki,CC BY-SA
A2,gapfill,In this example _____ can be seen that the (completely unrelated) fact that person A is uneducated and poor is used to prove that abortion should not be illegal.,it,simplewiki,CC BY-SA
A2,gapfill,"When Christopher Columbus explored the area, _____ did not know about the Americas.",he,simplewiki,CC BY-SA
A2,gapfill,Others lived in _____ place and built cities and kingdoms.,one,simplewiki,CC BY-SA
A2,gapfill,Many Native Americans died _____ the European settlers came to the Americas.,after,simplewiki,CC BY-SA
A2,gapfill,One reason is _____ diseases came with the Europeans but were new to the Native Americans.,that,simplewiki,CC BY-SA
A2,gapfill,There were _____ battles with the Europeans.,also,simplewiki,CC BY-SA
A2,gapfill,"Many native _____ were hurt, killed, or forced to leave their homes by settlers, who took their lands.",people,simplewiki,CC BY-SA
A2,gapfill,The ancestors of _____ Americans came to the Americas from Asia.,native,simplewiki,CC BY-SA
A2,gapfill,"The Native American tribes have their own cultures, which _____ be grouped together by region.",can,simplewiki,CC BY-SA
A2,gapfill,"Before Europeans came, the Native Americans practiced _____ different religions.",many,simplewiki,CC BY-SA
A2,gapfill,"Many Native Americans now practice Christianity, a religion _____ was brought to the Americas by Europeans.",that,simplewiki,CC BY-SA
A2,gapfill,"Others, meanwhile, still practice _____ own religions.",their,simplewiki,CC BY-SA
A2,gapfill,_____ of these languages had writing systems before Europeans came.,some,simplewiki,CC BY-SA
A2,gapfill,_____ are not evenly spread out through the United States.,they,simplewiki,CC BY-SA
A2,gapfill,_____ 28% of Native Americans live on Indian reservations.,about,simplewiki,CC BY-SA
A2,gapfill,_____ 40% of the people of Guatemala identify as Native American.,about,simplewiki,CC BY-SA
A2,gapfill,_____ indigenous groups in the country are descendants of the Maya.,many,simplewiki,CC BY-SA
A2,gapfill,_____ Native Americans in Guatemala are poor.,many,simplewiki,CC BY-SA
A2,gapfill,Most _____ in Bolivia belong to indigenous groups.,people,simplewiki,CC BY-SA
A2,gapfill,"An apple is an edible fruit of a number of trees, known for _____ juicy green or red fruit.",its,simplewiki,CC BY-SA
A2,gapfill,Apples have been grown for thousands of years in Asia and in _____ continent.,european,simplewiki,CC BY-SA
A2,gapfill,_____ were brought to North America by European World Colonial settlers.,they,simplewiki,CC BY-SA
A2,gapfill,"_____ are more than 10,000 known variants of apples, with a range of desired characteristics.",there,simplewiki,CC BY-SA
A2,gapfill,"Different variants are bred for various tastes and uses: cooking, eating raw and cider production are the _____ common uses.",most,simplewiki,CC BY-SA
A2,gapfill,"In addition to that, when _____ comes to food toxicity, the seeds in apples can be fatal, but only if they've been crushed.",it,simplewiki,CC BY-SA
A2,gapfill,"In 2010, the fruit's genome was sequenced as _____ of research on disease control and selective breeding in apple production.",part,simplewiki,CC BY-SA
A2,gapfill,Worldwide production of apples in 2013 was 90.8 _____ tonnes.,million,simplewiki,CC BY-SA
A2,gapfill,The apple _____ was possibly the earliest tree to be cultivated.,tree,simplewiki,CC BY-SA
A2,gapfill,Asia and Europe have used winter apples as an _____ food for thousands of years.,important,simplewiki,CC BY-SA
A2,gapfill,"From when Europeans arrived, Argentina and the _____ States have used apples as food as well.",united,simplewiki,CC BY-SA
A2,gapfill,Apples were brought to _____ America.,north,simplewiki,CC BY-SA
A2,gapfill,The _____ apple orchard on the North American continent was said to be near Boston in 1625.,first,simplewiki,CC BY-SA
A2,gapfill,"In the 1900s, costly fruit industries, _____ the apple was a very important species, began developing.",where,simplewiki,CC BY-SA
A2,gapfill,She points out _____ buckets of apples were discovered in the place of burial for the Oseberg ship in Norway.,that,simplewiki,CC BY-SA
A2,gapfill,She suggests that _____ may have had a symbolic meaning.,this,simplewiki,CC BY-SA
A2,gapfill,Nuts are _____ a symbol of fertility in Southwest England.,still,simplewiki,CC BY-SA
A2,gapfill,Sometimes apples are eaten after _____ are cooked.,they,simplewiki,CC BY-SA
A2,gapfill,Apples _____ also be made into drinks.,can,simplewiki,CC BY-SA
A2,gapfill,_____ juice and apples cider are drinks made with apples.,apple,simplewiki,CC BY-SA
A2,gapfill,The flesh of the _____ is firm with a taste anywhere from sour to sweet.,fruit,simplewiki,CC BY-SA
A2,gapfill,"Apples used for cooking are sour, and need to be cooked with sugar, while _____ apples are sweet, and do not need cooking.",other,simplewiki,CC BY-SA
A2,gapfill,"Most apples are good to eat raw (not cooked), and are _____ used in many kinds of baked foods, such as apple pie.",also,simplewiki,CC BY-SA
A2,gapfill,Apples are cooked until they are soft to _____ apple sauce.,make,simplewiki,CC BY-SA
A2,gapfill,Apples are _____ made into the drinks apple juice and cider.,also,simplewiki,CC BY-SA
A2,gapfill,"Usually, cider contains a little alcohol, _____ as much as beer.",about,simplewiki,CC BY-SA
A2,gapfill,"The seed will have DNA from the apple that the seeds came from, but _____ will also have DNA from the apple flower that pollinated the seeds, which might be a different variant of apple.",it,simplewiki,CC BY-SA
A2,gapfill,"_____ means that the tree which would grow from planting would be a mixture of two, or a hybrid.",this,simplewiki,CC BY-SA
A2,gapfill,The tree _____ grows will create apples of the type needed.,that,simplewiki,CC BY-SA
A2,gapfill,"_____ are more than 7,500 known variants of apples.",there,simplewiki,CC BY-SA
A2,gapfill,"_____ large collection of over 2,100 apple variants is at the National Fruit Collection in England.",one,simplewiki,CC BY-SA
A2,gapfill,_____ of these variants are grown for eating fresh (dessert apples).,most,simplewiki,CC BY-SA
A2,gapfill,"However, _____ are grown simply for cooking or making cider.",some,simplewiki,CC BY-SA
A2,gapfill,"However, they give cider a rich flavor _____ dessert apples cannot.",that,simplewiki,CC BY-SA
A2,gapfill,"Colorful skin, easy shipping, disease resistance, 'Red Delicious' apple shape, and popular flavor are _____ needed.",also,simplewiki,CC BY-SA
A2,gapfill,_____ is because popular tastes in apples have become different.,this,simplewiki,CC BY-SA
A2,gapfill,_____ North Americans and Europeans enjoy sweet apples.,most,simplewiki,CC BY-SA
A2,gapfill,Extremely sweet apples with hardly _____ acid taste are popular in Asia and India.,any,simplewiki,CC BY-SA
A2,gapfill,Apples are grown _____ the world.,around,simplewiki,CC BY-SA
A2,gapfill,China produces more than half of _____ commercially grown apples.,all,simplewiki,CC BY-SA
A2,gapfill,"In 2020/2021, _____ produced 44,066,000 metric tons.",china,simplewiki,CC BY-SA
A2,gapfill,"_____ important producers were the European Union (11,719,000 metric tons), the United States (4,490,000 metric tons), and Turkey (4,300,000 metric tons).",other,simplewiki,CC BY-SA
A2,gapfill,"Total _____ production was 80,522,000 metric tons.",world,simplewiki,CC BY-SA
A2,gapfill,In the United Kingdom there are _____ 3000 different types of apples.,about,simplewiki,CC BY-SA
A2,gapfill,"Apple orchards are not as common as _____ were in the early 1900s, when apples were rarely brought in from other countries.",they,simplewiki,CC BY-SA
A2,gapfill,Organizations such as Common Ground teach people _____ the importance of rare and local varieties of fruit.,about,simplewiki,CC BY-SA
A2,gapfill,"_____ are many different varieties of apples, including Family.",there,simplewiki,CC BY-SA
A2,gapfill,_____ uses variables to represent a value that is not yet known or can be replaced with any value.,it,simplewiki,CC BY-SA
A2,gapfill,"When an equals sign (=) is used, _____ is called an equation.",this,simplewiki,CC BY-SA
A2,gapfill,"In this example, formula_2, or _____ could also be said that ""formula_3 equals five"".",it,simplewiki,CC BY-SA
A2,gapfill,"_____ is called ""solving for"" formula_3.",this,simplewiki,CC BY-SA
A2,gapfill,This is often used in making graphs because _____ always turns one input into one output.,it,simplewiki,CC BY-SA
A2,gapfill,Algebra _____ be used to solve real problems because the rules of algebra work in real life and numbers can be used to represent the values of real things.,can,simplewiki,CC BY-SA
A2,gapfill,"Physics, engineering and computer programming are areas _____ use algebra all the time.",that,simplewiki,CC BY-SA
A2,gapfill,_____ who do algebra use the rules of numbers and mathematical operations used on numbers.,people,simplewiki,CC BY-SA
A2,gapfill,"The book was then given the _____ ""Algebra"".",name,simplewiki,CC BY-SA
