type,prompt,options,answer,source,license
mcq,"August, in either _____, is the seasonal equivalent of February in the other.",hemisphere|heath|believer|derivative,hemisphere,simplewiki,CC BY-SA
mcq,In the Northern _____ it is a summer month and it is a winter month in the Southern hemisphere.,feather|sac|hemisphere|takeover,hemisphere,simplewiki,CC BY-SA
mcq,"No other _____ in common years begins on the same day of the week as August, but August begins on the same day of the week as February in leap years.",position|internet|guess|month,month,simplewiki,CC BY-SA
mcq,"August ends on the same _____ of the week as November every year, as each other's last days are 13 weeks (91 days) apart.",look|go|day|part,day,simplewiki,CC BY-SA
mcq,"In common _____, August starts on the same day of the week as March and November of the previous year, and in leap years, June of the previous year.",work|year|take|use,year,simplewiki,CC BY-SA
mcq,"In common _____, August finishes on the same day of the week as March and June of the previous year, and in leap years, September of the previous year.",year|right|back|work,year,simplewiki,CC BY-SA
mcq,"In common _____ immediately after other common years, August starts on the same day of the week as February of the previous year.",while|over|being|year,year,simplewiki,CC BY-SA
mcq,"In _____ immediately before common years, August starts on the same day of the week as May of the following year, and in years immediately before leap years, October of the following year.",love|year|home|need,year,simplewiki,CC BY-SA
mcq,"It produces a _____, an object.",product|male|exchange|magic,product,simplewiki,CC BY-SA
mcq,"_____ is a diverse range of human activities in creating visual, performing subjects, and expressing the author's thoughts.",art|non|answer|low,art,simplewiki,CC BY-SA
mcq,"The _____ of art is called a work of art, for others to experience.",status|disease|fashion|product,product,simplewiki,CC BY-SA
mcq,"That _____ of art is sometimes called a ""craft"".",media|kind|law|human,kind,simplewiki,CC BY-SA
mcq,Those who make _____ are called artists.,art|test|r|child,art,simplewiki,CC BY-SA
mcq,They hope to affect the _____ of people who experience it.,tube|emotion|tide|lighting,emotion,simplewiki,CC BY-SA
mcq,"Some _____ find art relaxing, exciting or informative.",out||two|people|think,people,simplewiki,CC BY-SA
mcq,Some say _____ are driven to make art due to their inner creativity.,people|time|no|good,people,simplewiki,CC BY-SA
mcq,"""The _____"" is a much broader term.",l|college|art|course,art,simplewiki,CC BY-SA
mcq,"_____ is divided into the plastic arts, where something is made, and the performing arts, where something is done by humans in action.",quality|girl|street|art,art,simplewiki,CC BY-SA
mcq,"The other _____ is between pure arts, done for themselves, and practical arts, done for a practical purpose, but with artistic content.",region|nation|transfer|division,division,simplewiki,CC BY-SA
mcq,"Some _____ say that art is a product or item that is made with the intention of stimulating the human senses as well as the human mind, spirit and soul.",out|think|people|time,people,simplewiki,CC BY-SA
mcq,_____ can also be an Idea or a concept that is expressed visually.,role|r|art|p.,art,simplewiki,CC BY-SA
mcq,"An _____ is normally judged by how much impact it has on people, the number of people who can relate to it, and how much they appreciate it.",artwork|altitude|chaos|ruling,artwork,simplewiki,CC BY-SA
mcq,Some _____ also get inspired.,see|people|do|good,people,simplewiki,CC BY-SA
mcq,This is often done by placing the _____ in a frame or a special setting like a Gallery were the new setting gives the object a different meaning or message.,temple|object|duty|schedule,object,simplewiki,CC BY-SA
mcq,_____ is often said to have a message or a meaning and design is about only the appearance.,post|phone|art|hold,art,simplewiki,CC BY-SA
mcq,_____ may feel a certain emotion or message and wish to express it by creating something that means something to them.,royal|artist|fan|activity,artist,simplewiki,CC BY-SA
mcq,Most of the _____ created in this case is made for the artist rather than an audience.,living|m|range|art,art,simplewiki,CC BY-SA
mcq,"However, if an _____ is able to connect with the emotion or the message as well, then the art work may become publicly successful.",concept|vice|apple|audience,audience,simplewiki,CC BY-SA
mcq,"All of the great ancient _____, such as Ancient Egypt, India, China, Greece, Rome and Persia had works and styles of art.",civilization|metro|circus|1950,civilization,simplewiki,CC BY-SA
mcq,"In the Middle Ages, most of the _____ in Europe showed people from the Bible in paintings, stained-glass windows, and mosaic tile floors and walls.",art|college|process|study,art,simplewiki,CC BY-SA
mcq,"In India and Tibet, painted _____, dance, and religious painting were done.",runway|projection|rapper|sculpture,sculpture,simplewiki,CC BY-SA
mcq,"There are many Chinese artistic _____, which are usually named after the ruling dynasty.",return|century|train|style,style,simplewiki,CC BY-SA
mcq,These _____ also invented perspective where things in the distance look smaller in the picture.,artist|joke|shooting|reach,artist,simplewiki,CC BY-SA
mcq,This was new because in the Middle Ages _____ would paint all the figures close up and just overlapping each other.,over|up||two|people,people,simplewiki,CC BY-SA
mcq,"In some _____, people think that art belongs to the person who made it.",society|phone|park|third,society,simplewiki,CC BY-SA
mcq,"They think that the _____ put his or her ""talent"" and industry into the art.",ending|actor|artist|count,artist,simplewiki,CC BY-SA
mcq,"In this _____, the art is the property of the artist, protected by copyright.",view|data|visit|reading,view,simplewiki,CC BY-SA
mcq,"In other _____, people think that art belongs to no one.",door|society||vote|project,society,simplewiki,CC BY-SA
mcq,They think that _____ has put its social capital into the artist and the artist's work.,society|v|effect|percent,society,simplewiki,CC BY-SA
mcq,"In this _____, society is a collective that has made the art, through the artist.",view|club|language|industry,view,simplewiki,CC BY-SA
mcq,"The _____ of art include: 1) Cognitive function Works of art let us know about what the creator thought or knew, and what the surroundings of the author were like, real or imagined.",hall|sport|function|professor,function,simplewiki,CC BY-SA
mcq,"3) Prognostic function Some _____ draw what they see the future like, and some of them are right, but most are not...",target|leadership|hearing|artist,artist,simplewiki,CC BY-SA
mcq,"4) _____ function Art makes us think about it, not about reality; we have a rest.",recreation|witch|painter|11th,recreation,simplewiki,CC BY-SA
mcq,5) _____ function What did the artist value?,value|kid|question|relationship,value,simplewiki,CC BY-SA
mcq,What aims did they like/_____ in human activity?,correspondence|dislike|berry|jaw,dislike,simplewiki,CC BY-SA
mcq,This usually is clearly seen in _____' works.,justice|knowledge|artist|begin,artist,simplewiki,CC BY-SA
mcq,A is the first _____ of the English alphabet.,access|letter|evening|income,letter,simplewiki,CC BY-SA
mcq,A is similar to _____ of the Greek alphabet.,trainer|alpha|indication|creek,alpha,simplewiki,CC BY-SA
mcq,"That is not surprising, because it means the same _____.",sound|e.|position|message,sound,simplewiki,CC BY-SA
mcq,"""Alpha and Omega"" (the last _____ of the Greek alphabet) means from beginning to the end.",letter|analysis|effort|growth,letter,simplewiki,CC BY-SA
mcq,"A is the _____ that was used to represent a team in an old TV show, The A-Team.",disease|executive|bus|letter,letter,simplewiki,CC BY-SA
mcq,Use a _____ A at the start of a sentence if writing.,structure|cell|capital|lie,capital,simplewiki,CC BY-SA
mcq,"A is also a musical _____, sometimes referred to as ""La"".",issue|note|claim|brother,note,simplewiki,CC BY-SA
mcq,The Greeks later modified this _____ and used it as their letter alpha.,letter|lack|defense|professor,letter,simplewiki,CC BY-SA
mcq,The _____ A has six different sounds.,letter|risk|apple|color,letter,simplewiki,CC BY-SA
mcq,"Other _____ of this letter are in the words ""father"", which developed into another sound, such as in the word ""ace"".",mom|sound|watch|effect,sound,simplewiki,CC BY-SA
mcq,"In _____, the letter ""A"" along with other letters at the beginning of the alphabet is used to represent known quantities.",algebra|jewellery|calf|hedge,algebra,simplewiki,CC BY-SA
mcq,"In _____, capital A, B, C etc.",progression|bark|geometry|prose,geometry,simplewiki,CC BY-SA
mcq,"are used to label _____ segments, lines, etc.",light|team|job|line,line,simplewiki,CC BY-SA
mcq,"Also, A is typically used as one of the _____ to label an angle in a triangle.",letter|content|surface|tree,letter,simplewiki,CC BY-SA
mcq,_____ is the Earth's atmosphere.,development|share|x|air,air,simplewiki,CC BY-SA
mcq,_____ is a mixture of many gases and tiny dust particles.,hand|lead|video|air,air,simplewiki,CC BY-SA
mcq,It is the clear _____ in which living things live and breathe.,round|count|gas|sleep,gas,simplewiki,CC BY-SA
mcq,"It has _____ and weight, because it is matter.",joint|train|mass|pair,mass,simplewiki,CC BY-SA
mcq,The _____ of air creates atmospheric pressure.,brother|culture|subject|weight,weight,simplewiki,CC BY-SA
mcq,There is no _____ in outer space.,air|co|total|e.,air,simplewiki,CC BY-SA
mcq,_____ live and need to breathe the oxygen in the atmosphere.,farm|animal|stadium|ring,animal,simplewiki,CC BY-SA
mcq,"In _____, the lungs put oxygen into the blood, and send back carbon dioxide to the air.",salary|composition|breathing|extension,breathing,simplewiki,CC BY-SA
mcq,_____ need the carbon dioxide in the air to live.,"bear|cover|plant|style=""text",plant,simplewiki,CC BY-SA
mcq,They give off the _____ that we breathe.,plug|oxygen|consequence|component,oxygen,simplewiki,CC BY-SA
mcq,It can damage _____'s health and the environment.,good|other|people|no,people,simplewiki,CC BY-SA
mcq,"There are _____ about whether or not to act upon climate change, but soon enough the Earth will heat up too much, causing it to become too hot and not support life.",metal|conduct|debate|tape,debate,simplewiki,CC BY-SA
mcq,"Some say fewer _____ would die of cold weather, and that is true but there is already a huge amount of people dying from heat and that number is and will keep increasing more and more.",do|people|good|out,people,simplewiki,CC BY-SA
mcq,"Since early _____, air has been used to create technology.",time|do|see|other,time,simplewiki,CC BY-SA
mcq,"Since the late 1900s, _____ power is also used to generate electricity.",matter|air|middle|service,air,simplewiki,CC BY-SA
mcq,"_____ is invisible: it cannot be seen by the eye, though a shimmering in hot air can be seen.",air|mean|car|town,air,simplewiki,CC BY-SA
mcq,"_____ is one of the 4 classical elements (water, air, earth and fire).",air|side|whole|r,air,simplewiki,CC BY-SA
mcq,At first it was mainly a _____ atmosphere.,compilation|hydrogen|dye|dairy,hydrogen,simplewiki,CC BY-SA
mcq,Free _____ did not exist in the atmosphere until about 2.4 billion years ago.,oxygen|swimming|dust|1980,oxygen,simplewiki,CC BY-SA
mcq,Spain is divided in 17 _____ called autonomous communities.,part|need|set|use,part,simplewiki,CC BY-SA
mcq,"""Autonomous"" means that each of these autonomous _____ has its own executive, legislative, and judicial powers.",film|community|price|run,community,simplewiki,CC BY-SA
mcq,"These are similar to, but ""not"" the same as, _____ in the United States of America, for example.",find|state|help|put,state,simplewiki,CC BY-SA
mcq,Spain has fifty smaller _____ called provinces.,place|night|down|part,part,simplewiki,CC BY-SA
mcq,"In 1978 these _____ came together, making the autonomous communities.",down|help|game|part,part,simplewiki,CC BY-SA
mcq,"Before then, some of these _____ were together but were broken.",worship|candidate|province|creek,province,simplewiki,CC BY-SA
mcq,"They are called ""autonomous _____"" and have simultaneously the majority of the power of an autonomous community and also power of provinces and power of municipalities.",city|system|area|national,city,simplewiki,CC BY-SA
mcq,He is known as the _____ of computer science.,health|final|father|building,father,simplewiki,CC BY-SA
mcq,His _____ came from a Scottish merchant family.,child|attack|education|father,father,simplewiki,CC BY-SA
mcq,"Later, he _____ at Cambridge University and Princeton University.",film|list|study|meet,study,simplewiki,CC BY-SA
mcq,This _____ became important in the development of computers.,total|head|design|idea,idea,simplewiki,CC BY-SA
mcq,He also created the _____ of a computer program.,board|interest|player|idea,idea,simplewiki,CC BY-SA
mcq,This helped the Allies win the _____ and may have saved millions of lives.,meet|guy|war|class,war,simplewiki,CC BY-SA
mcq,"Later, he helped design the Automatic Computing Engine (ACE), one of the first stored-_____ computers.",following|level|program|shot,program,simplewiki,CC BY-SA
mcq,He presented the _____ in 1946.,design|mark|walk|travel,design,simplewiki,CC BY-SA
mcq,"In 1952, he admitted to having _____ with a man.",sex|property|leave|choice,sex,simplewiki,CC BY-SA
mcq,"At that _____, being gay was illegal in the UK.",|two|one|up|time,time,simplewiki,CC BY-SA
mcq,He was convicted and had to choose between _____ or taking hormones to reduce his sex drive.,justice|prison|degree|flat,prison,simplewiki,CC BY-SA
mcq,"Some say he ate a poisoned _____, but the apple was never tested.",apple|orange|estate|holding,apple,simplewiki,CC BY-SA
mcq,It is believed he died by _____.,electronic|suicide|display|conservative,suicide,simplewiki,CC BY-SA
mcq,"In 2013, Queen Elizabeth II gave him a royal _____.",pardon|limitation|voyage|functionality,pardon,simplewiki,CC BY-SA
mcq,"She was _____ in Ottawa, Canada.",bear|blame|advance|improve,bear,simplewiki,CC BY-SA
mcq,"In 1995, she became popular all over the _____.",use|world|over|life,world,simplewiki,CC BY-SA
mcq,"As a young _____ in Canada, Morissette began to act on television, including 5 episodes of the long-running series, ""You Can't Do That on Television"".",player|kind|room|child,child,simplewiki,CC BY-SA
mcq,Her first _____ was released only in Canada in 1990.,lady|hearing|album|range,album,simplewiki,CC BY-SA
mcq,It was a _____-influenced album.,blue|train|attention|rock,rock,simplewiki,CC BY-SA
mcq,It became the best-selling _____ album in music history.,castle|debut|anxiety|wolf,debut,simplewiki,CC BY-SA
mcq,Her _____ is French-Canadian.,saw|x|military|father,father,simplewiki,CC BY-SA
mcq,"She has an older _____, Chad, and a twin brother, Wade, who is 12 minutes younger than she is.",media|brother|list|sale,brother,simplewiki,CC BY-SA
mcq,She is still a Canadian _____.,suspect|galaxy|citizen|consumer,citizen,simplewiki,CC BY-SA
mcq,It has sold over 30 million _____ worldwide.,favor|copy|battle|drinking,copy,simplewiki,CC BY-SA
mcq,Some of her most famous _____ are: References.,development|research|cover|song,song,simplewiki,CC BY-SA
mcq,It works well with the _____ of the products with the Adobe name.,key|rest|forward|mother,rest,simplewiki,CC BY-SA
mcq,"&lt;templatestyles src=""Reflist/styles.css"" /&gt; ""This about can be _____ longer.",say|go|make|know,make,simplewiki,CC BY-SA
mcq,"You can _____ Wikipedia by [ adding to it]"".",team|help|house|start,help,simplewiki,CC BY-SA
mcq,It is spicy (hot in _____) and smoked.,sport|taste|walking|institute,taste,simplewiki,CC BY-SA
mcq,"""This about can be _____ longer.",make|want|think|got,make,simplewiki,CC BY-SA
mcq,_____ is growing crops and keeping animals for food and raw materials.,honey|penny|farming|clinic,farming,simplewiki,CC BY-SA
mcq,_____ is a significant part of agriculture.,clinic|announcement|vocal|farming,farming,simplewiki,CC BY-SA
mcq,"_____ began in different parts of the world, independently; There were at least 11 separate centers of origin.",lifestyle|farming|relation|cookie,farming,simplewiki,CC BY-SA
mcq,"The _____ called Fertile Crescent is now in the countries of Iraq, Syria, Turkey, Jordan, Lebanon, Israel, and Egypt.",name|war|area|following,area,simplewiki,CC BY-SA
mcq,"_____ including horses, cattle, sheep, and goats were taken to the Americas, from the Old World.",carnival|mythology|livestock|19th,livestock,simplewiki,CC BY-SA
mcq,"_____ probably started agriculture by planting a few crops, but still gathered many foods from the wild.",up|over|out|people,people,simplewiki,CC BY-SA
mcq,_____ may have started farming because the weather and soil began to change.,up|people|do|no,people,simplewiki,CC BY-SA
mcq,This allowed the human _____ to grow to such large numbers as there are today.,population|production|condition|impact,population,simplewiki,CC BY-SA
mcq,"They can only grow enough _____ to feed the farmer, his family, and his animals.",food|win|rest|try,food,simplewiki,CC BY-SA
mcq,"The _____ is the amount of food grown on a given amount of land, and it is often low.",yield|lip|6th|detection,yield,simplewiki,CC BY-SA
mcq,_____ and other problems sometimes cause famines.,corpse|pad|compression|drought,drought,simplewiki,CC BY-SA
mcq,"This provides more _____ for the farmer's family, but can be bad for the country and the surrounding environment over many years.",illusion|nutrition|nut|manga,nutrition,simplewiki,CC BY-SA
mcq,"In some _____, farms are often fewer and larger.",season|country|war|human,country,simplewiki,CC BY-SA
mcq,"During the 20th _____ they have become more productive because farmers are able to grow better varieties of plants, use more fertilizer, use more water, and more easily control weeds and pests.",century|design|guess|n.,century,simplewiki,CC BY-SA
mcq,"Many _____ also use machines, so fewer people can farm more land.",length|farm|concept|television,farm,simplewiki,CC BY-SA
mcq,"There are fewer _____ in rich countries, but the farmers are able to grow more.",hazard|metro|farmer|clay,farmer,simplewiki,CC BY-SA
mcq,This _____ of intensive agriculture comes with its own set of problems.,march|guy|kind|air,kind,simplewiki,CC BY-SA
mcq,"They can also create _____ and weeds that are more resistant to the chemicals, causing outbreaks of these pests.",drill|taxi|bug|completion,bug,simplewiki,CC BY-SA
mcq,"These _____ have all got solutions, and modern young farmers usually have a good technical education.",problem|try|story|check,problem,simplewiki,CC BY-SA
mcq,"_____ select plants with better yield, taste, and nutritional value.",farmer|delta|jurisdiction|medication,farmer,simplewiki,CC BY-SA
mcq,"They also choose _____ that can survive plant disease and drought, and are easier to harvest.",youth|notice|budget|plant,plant,simplewiki,CC BY-SA
mcq,_____ of artificial selection and breeding have changed crop plants.,build|official|century|gold,century,simplewiki,CC BY-SA
mcq,The _____ produce better yield.,crop|notion|climbing|riot,crop,simplewiki,CC BY-SA
mcq,Some _____ are improved with genetic engineering.,damage|commercial|plant|agent,plant,simplewiki,CC BY-SA
mcq,"If they are used to make _____ for people to eat, that is livestock production.",entertainment|meat|apartment|crown,meat,simplewiki,CC BY-SA
mcq,"Non-meat _____, such as milk cows and egg-producing chickens, are kept for their produce.",festival|organization|surprise|animal,animal,simplewiki,CC BY-SA
mcq,"""Produce"" here means their _____ and milk, which are sold by the farm, usually in markets.",rush|tape|egg|desire,egg,simplewiki,CC BY-SA
mcq,What they need depends on the _____.,captain|environment|animal|gift,animal,simplewiki,CC BY-SA
mcq,_____ eat a much wider range of plants than cows.,urine|printer|goat|boxing,goat,simplewiki,CC BY-SA
mcq,"In some _____ of the world, that makes goats a more sensible choice for a farmer than cows.",while|part|work|play,part,simplewiki,CC BY-SA
mcq,It is important for there to be enough _____ for everyone.,food|change|idea|special,food,simplewiki,CC BY-SA
mcq,The _____ must also be safe and good.,whole|food|market|problem,food,simplewiki,CC BY-SA
mcq,"_____ say it is not always safe, because it contains some chemicals.",no||two|see|people,people,simplewiki,CC BY-SA
mcq,Other _____ say intensive agriculture is damaging the environment.,out|over|think|people,people,simplewiki,CC BY-SA
mcq,"For this _____, there are several types of agriculture.",phone|reason|current|account,reason,simplewiki,CC BY-SA
mcq,Agricultural _____ means the goals and methods of agricultural production.,policy|source|act|north,policy,simplewiki,CC BY-SA
mcq,"Common _____ of policy include the quality, amount, and safety of food.",kid|catch|lord|goal,goal,simplewiki,CC BY-SA
mcq,There are some serious _____ that people face trying to grow food today.,front|history|air|problem,problem,simplewiki,CC BY-SA
mcq,These include: There are also _____ with the distribution of food: Crops.,punk|instrument|friendship|difficulty,difficulty,simplewiki,CC BY-SA
mcq,"_____ can do it more quickly, which is one reason Global Positioning System receivers have a small computer inside.",effect|computer|pressure|floor,computer,simplewiki,CC BY-SA
mcq,"_____ can occur with simple objects such as numbers, and more complex objects and concepts such as vectors and matrices.",album|fat|step|addition,addition,simplewiki,CC BY-SA
mcq,_____ has several important properties.,addition|round|dad|sweet,addition,simplewiki,CC BY-SA
mcq,Repeated _____ of 1 is the same as counting.,addition|h|sea|contract,addition,simplewiki,CC BY-SA
mcq,_____ of 0 does not change a number.,attack|addition|battle|nation,addition,simplewiki,CC BY-SA
mcq,"For _____, there are objects in two groups (as shown on the right).",style|front|fine|example,example,simplewiki,CC BY-SA
mcq,"The _____ are various shapes, where one group has 3 of them while the other has 2.",hunt|object|investigation|gender,object,simplewiki,CC BY-SA
mcq,"When the two _____ combine into one, the overall amount (sum) of the shapes become 5.",line|kind|group|team,group,simplewiki,CC BY-SA
mcq,The _____ above demonstrates the addition of seven hundred eighty six and four hundred sixty seven.,bail|animation|activist|intervention,animation,simplewiki,CC BY-SA
mcq,"The _____'s digits have been separated into units, tens and hundreds (see Place value).",education|south|problem|control,problem,simplewiki,CC BY-SA
mcq,"First, the _____ 6 and 7 are added together to make 13, so 1 ten and 3 units, with the 3 written below and the 1 ten carried to the tens column.",unit|ability|professor|ice,unit,simplewiki,CC BY-SA
mcq,"Next, in the _____ column, the 1, 8, and 6 are added together to make 15 tens, so 1 hundred and 5 tens, with the 5 written below and the 1 hundred carried to the hundreds column.",wonder|mom|ten|bank,ten,simplewiki,CC BY-SA
mcq,"Finally, in the _____ column, 1, 7, and 4 are added together to make 12 hundreds, so 1 thousand and 2 hundreds, with the 2 written below and the 1 thousand carried to the thousand column.",context|sugar|hundred|quarter,hundred,simplewiki,CC BY-SA
mcq,The final _____ is thus one thousand two hundred fifty three.,field|morning|answer|word,answer,simplewiki,CC BY-SA
mcq,Tom wants to know the _____ between his house and Sally's house.,trump|rise|distance|task,distance,simplewiki,CC BY-SA
mcq,Bob's _____ is 300 m east of Tom's house.,system|game|house|am,house,simplewiki,CC BY-SA
mcq,"The _____ from Tom's house to Bob's house, added to the distance from Bob's house to Sally's house, is the same as the distance from Tom's house to Sally's house.",distance|turning|institute|brain,distance,simplewiki,CC BY-SA
mcq,formula_6 Hence Sally's _____ is 420 m to the east of Tom's house.,put|business|house|state,house,simplewiki,CC BY-SA
mcq,"_____ is commutative, meaning that one can change the order of the numbers in a sum, but still get the same result.",tax|challenge|brain|addition,addition,simplewiki,CC BY-SA
mcq,"_____ is also associative, which means that when three or more numbers are added together, the order of operations does not change the result.",lack|addition|management|click,addition,simplewiki,CC BY-SA
mcq,"For any three _____ formula_9, formula_10, and formula_11, it is true that formula_12.",second|care|number|car,number,simplewiki,CC BY-SA
mcq,"For _____, formula_13 and formula_14, which means that formula_15.",local|code|ground|example,example,simplewiki,CC BY-SA
mcq,"When _____ is used together with other operations, the order of operations becomes important.",defense|skin|value|addition,addition,simplewiki,CC BY-SA
mcq,"Australia, officially the Commonwealth of Australia, is an _____ country and sovereign state located in the southern hemisphere, in Oceania.",hair|acting|island|treatment,island,simplewiki,CC BY-SA
mcq,"Its _____ city is Canberra, and its largest city is Sydney.",airport|weather|treatment|capital,capital,simplewiki,CC BY-SA
mcq,It is mostly a _____ country.,deposit|desert|teen|honour,desert,simplewiki,CC BY-SA
mcq,"27 million _____ live in Australia, and about 85% of them live near the east coast.",over|up|people|other,people,simplewiki,CC BY-SA
mcq,"The _____ is divided up into six states and two territories, and more than half of Australia's population lives in and around the cities of Sydney, Melbourne, Brisbane, Perth and Adelaide.",stop|country|hit|low,country,simplewiki,CC BY-SA
mcq,"Australia is known for its _____ (coal, iron, gold, diamonds and crystals).",residence|mining|riding|disaster,mining,simplewiki,CC BY-SA
mcq,Australia is also known for its _____.,direction|queen|animal|species,animal,simplewiki,CC BY-SA
mcq,"The _____ of Australia, including the island of Tasmania, was separated from the other continents of the world many millions of years ago.",compromise|prescription|continent|placement,continent,simplewiki,CC BY-SA
mcq,"Because of this, many _____ and plants live in Australia that do not live anywhere else.",port|identity|animal|plant,animal,simplewiki,CC BY-SA
mcq,"_____ first arrived in Australia more than 50,000 years ago.",out|people|over|no,people,simplewiki,CC BY-SA
mcq,"For the _____ of Australia, see History of Australia.",fight|c|mean|history,history,simplewiki,CC BY-SA
mcq,"Most of the Australian _____, having been settled from Britain, became mostly independent democratic states in the 1850s and all six combined as a federation on 1 January 1901.",rod|lecture|revenge|colony,colony,simplewiki,CC BY-SA
mcq,The _____ Prime Minister of Australia was Edmund Barton in 1901.,first|new|most|go,first,simplewiki,CC BY-SA
mcq,Australia is a _____ of the United Nations and the Commonwealth of Nations.,member|pick|gas|radio,member,simplewiki,CC BY-SA
mcq,"Australia has six _____, two major mainland territories, and other minor territories.",find|state|city|thought,state,simplewiki,CC BY-SA
mcq,"The _____ are New South Wales, Queensland, South Australia, Victoria, Western Australia and Tasmania (which is a large island).",state|left|name|company,state,simplewiki,CC BY-SA
mcq,The two major _____ territories are the Northern Territory (which is huge) and the Australian Capital Territory (ACT) which is not much more than a city.,herd|nut|mainland|thumb,mainland,simplewiki,CC BY-SA
mcq,"The _____ is about 26 million people (2021 census = 25,890,773).",population|weekend|district|contact,population,simplewiki,CC BY-SA
mcq,"Most Australians live in _____ along the coast, such as Sydney, Melbourne, Brisbane, Perth, Adelaide, Newcastle and the Gold Coast.",war|company|person|city,city,simplewiki,CC BY-SA
mcq,"The largest inland _____ is Canberra, which is also the nation's capital.",today|following|game|city,city,simplewiki,CC BY-SA
mcq,"Australia is a very large _____, but much of the land is very dry, and the middle of the continent is mostly a hot desert.",week|money|number|country,country,simplewiki,CC BY-SA
mcq,"Only the _____ around the east, west and south coast have enough rain and a suitable climate (not too hot and dry) for farms and cities.",single|general|play|area,area,simplewiki,CC BY-SA
mcq,The _____ state of Tasmania has a more balanced climate than much of the mainland.,network|cell|island|value,island,simplewiki,CC BY-SA
mcq,All the _____ cities except Perth and Darwin are in the south-east of the country.,capital|property|king|middle,capital,simplewiki,CC BY-SA
mcq,"It is thought this is caused by _____ change, and may continue to get worse.",latter|reaction|bag|climate,climate,simplewiki,CC BY-SA
mcq,"The BBC _____ comments: ""In the past three years, record-breaking bushfire and flood events have killed more than 500 people and billions of animals.",watch|report|project|board,report,simplewiki,CC BY-SA
mcq,"Drought, _____ and freak tides have gripped communities"".",heroine|anthology|cyclone|aide,cyclone,simplewiki,CC BY-SA
mcq,"The BBC _____ continues: ""Nowhere is this a bigger issue than in Queensland.",original|report|shot|relationship,report,simplewiki,CC BY-SA
mcq,This means _____ can't get insurance because the risk of flooding (in one season) or fire (in another season) is too great.,people|no|over|up,people,simplewiki,CC BY-SA
mcq,They lived in all _____ of climates and managed the land in different ways.,sort|cover|drink|app,sort,simplewiki,CC BY-SA
